searched_zipcode,searched_category,searched_lat,searched_lng,Restaurant_Name,restaurant_id,loc_number,City,Address,Postcode,Latitude,Longitude,cuisines,offers,delivery_fee_raw,delivery_fee,delivery_time_raw,delivery_time,service_fee_raw,service_fee,distance,review_count,review_rating,RunDate,
EC1A 7EB,London_Center,51.51808898,-0.09922265,The Woodins Shades - Bishopsgate,1572,156914,London,FirstLine212 Bishopsgate,EC2M 4PT,51.518233,,Pies Pub FoodLow Delivery Fee,,,0.99,25-40,32.5,,0,0.9,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,The Mudlark - London Bridge,1573,157047,London,"FirstLineNicholsons, Montague Close",SE1 9DA,51.506166,,Pies Pub FoodLow Delivery Fee,,,0.99,25-40,32.5,,0,0.9,1,6,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,The Wellington - Strand,1574,156899,London,FirstLine351 Strand,WC2R 0HS,51.511436,,Pies Pub FoodLow Delivery Fee,,,0.99,25-40,32.5,,0,1,1,4,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,The Three Greyhounds - Soho,1575,156881,London,FirstLine25 Greek Street,W1D 5DD,51.513439,,Pies Pub FoodLow Delivery Fee,,,0.99,25-40,32.5,,0,1.4,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Roosters Piri Piri - Hoxton,1576,117304,London,FirstLine100 East Road,N1 6AA,51.529887,,Peri PeriChickenCollect stampsLow Delivery Fee,10% off when you spend £30,,0.99,40-55,47.5,,0,1,373,4.7,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Mac Shack - The Strand,1577,166514,London,"FirstLineUnit 5, 65-72 Strand",WC2N 5LR,51.509695,,PastaItalianLow Delivery Fee,,,0.99,20-35,27.5,,0,1.2,2,2.67,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Mac Shack - Irving St,1578,166504,London,"FirstLine10 Irving Street, Charing Cross Road",WC2H 7AT,51.509992,,PastaItalianLow Delivery Fee,,,0.99,20-35,27.5,,0,1.4,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Mac Shack - Shaftesbury Avenue,1579,166527,London,FirstLine61-63 Shaftesbury Avenue,W1D 6LQ,51.512078,,PastaItalianLow Delivery Fee,,,0.99,20-35,27.5,,0,1.5,1,1.67,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Bella Italia Pizza & Pasta - The Strand,1580,166117,London,"FirstLineUnit 5, 65-72 Strand",WC2N 5LR,51.509704,,ItalianPastaLow Delivery Fee,,,0.99,25-40,32.5,,0,1.2,1,1,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Bella Italia Pizza & Pasta - Irving St,1581,166143,London,"FirstLine10 Irving Street, Charing Cross Road",WC2H 7AT,51.509992,,ItalianPastaLow Delivery Fee,,,0.99,25-40,32.5,,0,1.4,1,2.33,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Bella Italia Pizza & Pasta - Cranbourne St,1582,166854,London,"FirstLine1 Cranbourne Street, Leicester Square",WC2H 7AJ,51.511197,,ItalianPastaLow Delivery Fee,,,0.99,25-40,32.5,,0,1.4,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Krispy Kreme - London Bridge,1583,108627,London,"FirstLineSU52, London Bridge Railway Station",SE1 9SP,51.504402,"Station""",DessertsAmericanLow Delivery Fee,,,0.99,15-30,22.5,,0,1.1,27,4.58,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Black Sheep Coffee - Aldgate Station,1584,133418,London,FirstLine9 Aldgate High Street,EC3N 1AH,51.514244,,CoffeeBreakfastLow Delivery Fee,,,0.99,20-35,27.5,,0,1,7,4.19,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Black Sheep Coffee Kings Cross,1585,156307,London,"FirstLineUnit S2, Kings Cross Square, Euston Road",N1C 4DE,51.530427,,CoffeeBreakfastLow Delivery Fee,,,0.99,15-30,22.5,,0,1.4,6,2.5,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Pinsa Pizza by Bella Italia - The Strand,1586,166513,London,"FirstLineUnit 5, 65-72 Strand",WC2N 5LR,51.509695,,PizzaItalianLow Delivery Fee,,,0.99,25-40,32.5,,0,1.2,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Pinsa Pizza by Bella Italia - Irving St,1587,166507,London,"FirstLine10 Irving Street, Charing Cross Road",WC2H 7AT,51.509992,,PizzaItalianLow Delivery Fee,,,0.99,25-40,32.5,,0,1.4,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Pinsa Pizza by Bella Italia - Cranbourne St,1588,166856,London,"FirstLine1 Cranbourne Street, Leicester Square",WC2H 7AJ,51.511197,,PizzaItalianLow Delivery Fee,,,0.99,25-40,32.5,,0,1.4,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Pinsa Pizza by Bella Italia - Shaftesbury Avenue,1589,166542,London,FirstLine61-63 Shaftesbury Avenue,W1D 6LQ,51.512146,,PizzaItalianLow Delivery Fee,,,0.99,25-40,32.5,,0,1.5,1,6,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Ev Restaurant - Southbank,1590,129960,London,"FirstLineThe Arches, 98 Isabella Street",SE1 8DD,51.504151,,TurkishMediterraneanLow Delivery Fee,,,0.99,35-50,42.5,,0,1,9,5.26,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Ev Cafe - Southbank,1591,129955,London,"FirstLineThe Arches, 97-99 Isabella Street",SE1 8DD,51.504151,,TurkishMediterraneanLow Delivery Fee,,,0.99,35-50,42.5,,0,1,3,5.22,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Tas Restaurant - Borough,1592,127247,London,"FirstLineGround Floor & Basement, 72-74 Borough High Street",SE1 1XF,51.503847,"Street""",TurkishMediterraneanCollect stampsLow Delivery Fee,,,0.99,25-40,32.5,,0,1,10,4,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Tas Restaurant - Bloomsbury,1593,151065,London,FirstLine22 Bloomsbury Street,WC1B 3QJ,51.517942,,TurkishMediterraneanLow Delivery Fee,,,0.99,20-35,27.5,,0,1.2,3,3.33,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Browns - Shad Thames,1594,161823,London,"FirstLineTea Trade Wharf, Shad Thames",SE1 2YG,51.502596,,BritishSteakLow Delivery Fee,,,0.99,25-40,32.5,,0,1.6,1,6,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,NANNY BILL’S BURGERS @ Vinegar Yard,1595,139905,London,FirstLine72 - 82 Saint Thomas Street,SE1 3QU,51.502873,,BurgersBritishLow Delivery Fee,,,0.99,35-50,42.5,,0,1.2,7,3.67,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,The Steam Engine - Cosser St,1596,120874,London,FirstLine41-42 Cosser Street,SE1 7BU,51.497133,,BurgersBritishLow Delivery Fee,,,0.99,25-40,32.5,,0,1.6,22,4.74,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,BrewDog Burger - Soho,1597,123637,London,FirstLine21 Poland Street,W1F 8QG,51.515069,,BurgersVeganLow Delivery Fee,,,0.99,25-40,32.5,,0,1.6,19,3.35,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Prezzo - Northumberland Ave,1598,128361,London,"FirstLineUnit D,Grand Buildings,31-32 Northumberland Avenue",WC2N 5BW,51.507571,,ItalianPizzaLow Delivery Fee,,,0.99,25-40,32.5,,0,1.4,2,3.5,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Prezzo - Islington,1599,159520,London,"FirstLine116 Upper Street, Islington Square",N1 1AB,51.53836,,ItalianPizzaLow Delivery Fee,25% off when you spend £15,,0.99,30-45,37.5,,0,1.4,9,3.41,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Prezzo - Euston,1600,147503,London,FirstLine161/163 Euston Road,NW1 2BD,51.527086,,ItalianPizzaLow Delivery Fee,,,0.99,30-45,37.5,,0,1.5,8,2.5,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Press Cold Pressed Juices & Cleanses - Islington,1601,148524,London,FirstLine309 Upper Street,N1 2TU,51.53796,,DrinksHealthyLow Delivery Fee,,,0.99,15-30,22.5,,0,1.4,3,4.22,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Ruby Jeans Burgers @The Radicals & Victuallers,1602,157519,London,FirstLine59 Upper Street,N1 0NY,51.535689,,BurgersAmericanLow Delivery Fee,,,0.99,25-40,32.5,,0,1.2,3,3.67,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,The Breakfast Club - London Bridge,1603,163019,London,FirstLine11 Southwark Street,SE1 1RQ,51.504607,,BreakfastBurgersLow Delivery Fee,,,0,25-40,32.5,,0,1,51,4.9,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,LEON - Ludgate Circus,1604,144059,London,FirstLineRetail Unit 12 Ludgate Circus,EC4M 7LQ,51.514255,,ChickenHealthyLow Delivery Fee,,,0.99,15-30,22.5,,0,0.3,60,4.93,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Le Pain Quotidien - Monument,1605,151661,London,FirstLine42 Fish Street Hill,EC3R 6BR,51.510279,,BreakfastSandwichesCollect stampsLow Delivery Fee,,,0.99,25-40,32.5,,0,0.8,15,4.82,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Boost Juice Bars - Oxford Street,1606,129757,London,FirstLine12 Oxford Street,W1D 1AP,51.516494,,HealthySmoothiesLow Delivery Fee,,,0.99,20-35,27.5,,0,1.4,26,4.26,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Greggs - Ludgate Hill,1607,119025,London,"FirstLineGreggs - London, 41 Ludgate Hill",EC4M 7JN,51.513888,,SandwichesBreakfastLow Delivery Fee,,,0.99,20-35,27.5,,0,0.3,308,4.41,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,McDonald's® - Chancery Lane,1608,121022,London,FirstLine6/7 Holborn Circus,EC1N 2LL,51.51792,,BurgersChickenLow Delivery Fee,,,0.99,15-20,17.5,,0,0.5,291,3.41,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Chipotle - London Wall,1609,132453,London,FirstLineLondon Wall,EC2M 5TE,51.517036,,MexicanBurritosLow Delivery Fee,,,0.99,15-30,22.5,,0,0.5,75,4.74,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,SWEETEA - FARRINGDON,1610,170429,London,FirstLine9a Saint Bride Street,EC4A 4AS,51.514793,,Bubble TeaDessertsCollect stamps,,,2.49,25-40,32.5,,10,0.3,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Which Wich Superior Sandwiches,1244,93121,London,FirstLineUnit 8 Central St. Giles,WC2H 8AG,51.516015,,LunchAmericanLow Delivery Fee,10% off when you spend £10,,0.99,25-40,32.5,,0,1.3,109,4.77,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,SUBWAY,1611,153725,London,"FirstLineBride Street, 107-111 Fleet Street",EC4M 7LD,51.514152,,SandwichesLunchLow Delivery Fee,,,0.99,15-30,22.5,,0,0.4,6,2.06,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Fresh & Organic Cafe,1612,168534,London,FirstLine174 Drury Lane,WC2B 5QF,51.515677,,Caf\u00e9HealthyLow Delivery Fee,15% off when you spend £15,,0.99,25-40,32.5,,0,1,1,5,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,7am Somewhere - Absurd Bird Soho,1613,171154,London,"FirstLine25 Peter St, Soho",W1F 0AH,51.512563,,BreakfastBrunchLow Delivery Fee,,,0.99,25-40,32.5,,0,1.6,3,4.11,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,itsu - City Road,1614,102182,London,FirstLine161 City Road,EC1V 1NR,51.527863,,SushiAsianLow Delivery Fee,,,0.99,20-35,27.5,,0,0.8,39,4.72,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Zabardast - Bankside,1615,93970,London,"FirstLine1 Robinson Road, Bankside",SE1 8BU,51.50709,,IndianVegetarianHalalLow Delivery Fee,,,0.99,15-30,22.5,,0,0.8,24,4.08,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Fusionend Spice,1616,172717,London,FirstLine45 London Wall,EC2M 5TE,51.517095,,IndianChinese,,,2.49,25-40,32.5,,0,0.5,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Pret A Manger - Paternoster Square,1617,114934,London,"FirstLineUnit 1, 10 Paternoster Square",EC4M 7DY,51.514869,,BreakfastSandwichesLow Delivery Fee,,,0.99,15-30,22.5,,0,0.2,35,4.38,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Assenheims 56 - Smithfield Street,1618,149403,London,"FirstLineRetail Unit 2 Jarvis House, 12 Smithfield Street",EC1A 9LA,51.518081,,LunchSouth AmericanLow Delivery Fee,,,0.99,20-35,27.5,,0,0.2,134,5.59,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Levant Kitchen,1619,170932,London,FirstLine90 Grays Inn Road,WC1X 8AA,51.52099,,LebaneseKebab,,,2.49,25-40,32.5,,0,0.6,1,4.33,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Banh Mi Bay - St Pauls,1620,102733,London,FirstLine2 Watling House 33 Cannon Street,EC4M 5SB,51.512827,,VietnameseAsianLow Delivery Fee,,,0.99,15-20,17.5,,0,0.4,19,4.77,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Keto Kitchen,1621,169107,London,FirstLine159 Hoxton Street,N1 6PJ,51.530903,,HealthyChicken,,,0,,,,0,1.2,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Haiso-Zumi,1622,139855,London,FirstLine30c Great Sutton Street,EC1V 0DU,51.522996,,JapaneseSushiCollect stamps,,,2.49,20-35,27.5,,0,0.4,80,5.43,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Yatri Indian Restaurant,1623,171948,London,FirstLine3-9 Chalton Street,NW1 1JD,51.528455,,IndianCurryHalal,,,2.49,25-40,32.5,,0,1.5,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Kennedys Of Barbican,1624,115670,London,FirstLine169 Whitecross Street,EC1Y 8JT,51.523623,,Fish & ChipsGrillLow Delivery Fee,,,0.99,25-40,32.5,,0,0.5,89,5.14,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,BRKFST CO,1625,171846,London,FirstLineF1 82-88 Mile End Road,E1 4UN,51.5203,,BrunchBreakfastCollect stamps,15% off when you spend £20,,2.49,25-40,32.5,,0,2,0,0,4/25/2022 1:01,
